Entity,Code,Year,Historical and more recent literacy estimates
Honduras,HND,1970,53
Mexico,MEX,1970,75
Montserrat,MSR,1970,97
Nicaragua,NIC,1970,57
Panama,PAN,1970,79
Paraguay,PRY,1970,80
Peru,PER,1970,72
Saint Vincent and the Grenadines,VCT,1970,9.563.216
Turks and Caicos Islands,TCA,1970,98
Uruguay,URY,1970,93
Venezuela,VEN,1970,76
Bolivia,BOL,1971,59
Colombia,COL,1971,79
Costa Rica,CRI,1971,89
Cuba,CUB,1971,90
Dominican Republic,DOM,1971,68
Ecuador,ECU,1971,75
El Salvador,SLV,1971,59
Guatemala,GTM,1971,46
Haiti,HTI,1971,23
Honduras,HND,1971,54
Nicaragua,NIC,1971,57
Panama,PAN,1971,80
Paraguay,PRY,1971,80
Uruguay,URY,1971,93
Venezuela,VEN,1971,77
Bolivia,BOL,1972,60
Colombia,COL,1972,79
Costa Rica,CRI,1972,89
Cuba,CUB,1972,90
Dominican Republic,DOM,1972,68
Ecuador,ECU,1972,76
El Salvador,SLV,1972,60
Guatemala,GTM,1972,47
Haiti,HTI,1972,24
Honduras,HND,1972,55
Nicaragua,NIC,1972,58
Panama,PAN,1972,80
Paraguay,PRY,1972,81
Somalia,SOM,1972,540.465
Uruguay,URY,1972,93
Venezuela,VEN,1972,78
Bolivia,BOL,1973,61
Colombia,COL,1973,80
Costa Rica,CRI,1973,89
Cuba,CUB,1973,90
Dominican Republic,DOM,1973,69
Ecuador,ECU,1973,77
El Salvador,SLV,1973,61
Guatemala,GTM,1973,48
Haiti,HTI,1973,25
Honduras,HND,1973,56
Nicaragua,NIC,1973,58
Panama,PAN,1973,81
Paraguay,PRY,1973,82
Uruguay,URY,1973,93
Venezuela,VEN,1973,79
Bolivia,BOL,1974,62
Colombia,COL,1974,81
Costa Rica,CRI,1974,90
Cuba,CUB,1974,91
Dominican Republic,DOM,1974,70
Ecuador,ECU,1974,77
El Salvador,SLV,1974,61
Guatemala,GTM,1974,48
Haiti,HTI,1974,25
Honduras,HND,1974,57
Latin America and Caribbean (WB),0,1974,7.871.795
Middle East and North Africa (WB),0,1974,4.399.972
Nicaragua,NIC,1974,59
Panama,PAN,1974,81
Paraguay,PRY,1974,82
Uruguay,URY,1974,94
Venezuela,VEN,1974,80
Bolivia,BOL,1975,63
Burkina Faso,BFA,1975,883.023
Central African Republic,CAF,1975,1.823.617
Colombia,COL,1975,81
Costa Rica,CRI,1975,90
Cuba,CUB,1975,91
Dominican Republic,DOM,1975,70
Ecuador,ECU,1975,78
El Salvador,SLV,1975,62
Guatemala,GTM,1975,49
Haiti,HTI,1975,26
Honduras,HND,1975,58
Kuwait,KWT,1975,5.956.439
Latin America and Caribbean (WB),0,1975,7.873.679
Lower-middle-income countries,0,1975,4.608.655
Middle East and North Africa (WB),0,1975,4.448.717
Nicaragua,NIC,1975,59
Panama,PAN,1975,82
Paraguay,PRY,1975,83
South Asia (WB),0,1975,3.603.934
Turkey,TUR,1975,6.162.768
United Arab Emirates,ARE,1975,5.351.488
Uruguay,URY,1975,9.386.107
Venezuela,VEN,1975,80
Bolivia,BOL,1976,6.320.815
Cameroon,CMR,1976,4.121.621
Colombia,COL,1976,82
Costa Rica,CRI,1976,90
Cuba,CUB,1976,91
Dominican Republic,DOM,1976,71
East Asia and the Pacific (WB),0,1976,65.691
Ecuador,ECU,1976,79
Egypt,EGY,1976,3.819.676
Eswatini,SWZ,1976,5.532.504
Guatemala,GTM,1976,50
Haiti,HTI,1976,27
Honduras,HND,1976,58
Iran,IRN,1976,365.184
Latin America and Caribbean (WB),0,1976,7.908.727
Lower-middle-income countries,0,1976,4.621.935
Mali,MLI,1976,943.381
Middle East and North Africa (WB),0,1976,4.501.565
New Caledonia,NCL,1976,9.130.037
Nicaragua,NIC,1976,59
Panama,PAN,1976,83
Paraguay,PRY,1976,84
South Asia (WB),0,1976,3.604.425
Tonga,TON,1976,9.959.246
Upper-middle-income countries,0,1976,6.874.029
Venezuela,VEN,1976,81
World,OWID_WRL,1976,6.558.655
Colombia,COL,1977,82
Costa Rica,CRI,1977,91
Cuba,CUB,1977,92
Dominican Republic,DOM,1977,72
East Asia and the Pacific (WB),0,1977,6.587.666
Ecuador,ECU,1977,80
French Polynesia,PYF,1977,98
Guatemala,GTM,1977,51
Haiti,HTI,1977,28
Honduras,HND,1977,59
Latin America and Caribbean (WB),0,1977,7.948.948
Lower-middle-income countries,0,1977,4.674.835
Maldives,MDV,1977,8.229.996
Middle East and North Africa (WB),0,1977,4.555.852
Nicaragua,NIC,1977,60
Panama,PAN,1977,83
Paraguay,PRY,1977,84
South Asia (WB),0,1977,366.957
Upper-middle-income countries,0,1977,6.893.139
Venezuela,VEN,1977,82
World,OWID_WRL,1977,6.587.833
Arab World (WB),0,1978,4.647.531
Colombia,COL,1978,83
Costa Rica,CRI,1978,91
Cuba,CUB,1978,92
Dominican Republic,DOM,1978,73
East Asia and the Pacific (WB),0,1978,6.696.806
Ecuador,ECU,1978,80
Guatemala,GTM,1978,52
Haiti,HTI,1978,29
Honduras,HND,1978,60
Latin America and Caribbean (WB),0,1978,7.992.699
Lower-middle-income countries,0,1978,4.729.462
Middle East and North Africa (WB),0,1978,4.621.684
Nicaragua,NIC,1978,60
Panama,PAN,1978,84
Paraguay,PRY,1978,85
Poland,POL,1978,9.874.274
Rwanda,RWA,1978,3.824.343
South Asia (WB),0,1978,3.734.392
Upper-middle-income countries,0,1978,6.990.414
Venezuela,VEN,1978,83
World,OWID_WRL,1978,6.650.104
Afghanistan,AFG,1979,1.815.768
Arab World (WB),0,1979,4.694.826
Argentina,ARG,1979,94.2
Benin,BEN,1979,1.648.273
Brazil,BRA,1979,75
Burundi,BDI,1979,2.250.855
Chile,CHL,1979,91
Colombia,COL,1979,84
Costa Rica,CRI,1979,91
Cuba,CUB,1979,92
Dominican Republic,DOM,1979,73
East Asia and the Pacific (WB),0,1979,6.818.393
Ecuador,ECU,1979,81
Guatemala,GTM,1979,52
Guinea-Bissau,GNB,1979,1.995.825
Haiti,HTI,1979,30
Honduras,HND,1979,61
Jordan,JOR,1979,6.679.681
Latin America and Caribbean (WB),0,1979,8.032.272
Lower-middle-income countries,0,1979,4.781.219
Mexico,MEX,1979,82
Middle East and North Africa (WB),0,1979,4.688.817
Nicaragua,NIC,1979,61
Panama,PAN,1979,84
Paraguay,PRY,1979,85
Peru,PER,1979,79
South Asia (WB),0,1979,3.798.005
United States,USA,1979,99.4
Upper-middle-income countries,0,1979,7.097.245
Vanuatu,VUT,1979,5.287.392
Venezuela,VEN,1979,83
Vietnam,VNM,1979,8.382.594
World,OWID_WRL,1979,6.715.501
American Samoa,ASM,1980,9.734.416
Arab World (WB),0,1980,4.753.087
Argentina,ARG,1980,9.391.286
Barbados,BRB,1980,99.5
Brazil,BRA,1980,7.458.673
Chile,CHL,1980,92
Colombia,COL,1980,84
Comoros,COM,1980,4.791.923
Costa Rica,CRI,1980,92
Cuba,CUB,1980,93
Dominican Republic,DOM,1980,74
East Asia and the Pacific (WB),0,1980,6.876.246
Ecuador,ECU,1980,82
Grenada,GRD,1980,98.4
Guam,GUM,1980,9.642.065
Haiti,HTI,1980,31
Honduras,HND,1980,61
Hungary,HUN,1980,9.885.829
Indonesia,IDN,1980,6.731.267
Kuwait,KWT,1980,6.751.766
Latin America and Caribbean (WB),0,1980,8.063.629
Lower-middle-income countries,0,1980,4.836.388
Malaysia,MYS,1980,6.951.633
Mexico,MEX,1980,8.298.924
Micronesia,0,1980,89
Middle East and North Africa (WB),0,1980,4.765.529
Mozambique,MOZ,1980,2.699.771
Nicaragua,NIC,1980,61
Northern Mariana Islands,MNP,1980,97
Palau,PLW,1980,9.192.142
Panama,PAN,1980,8.807.174
Paraguay,PRY,1980,86
Peru,PER,1980,79
Philippines,PHL,1980,8.331.723
Puerto Rico,PRI,1980,8.674.606
Saint Vincent and the Grenadines,VCT,1980,96.9
Singapore,SGP,1980,8.290.605
South Africa,ZAF,1980,7.620.049
South Asia (WB),0,1980,385.959
Thailand,THA,1980,8.798.176
Trinidad and Tobago,TTO,1980,9.497.032
Turkey,TUR,1980,6.569.434
Upper-middle-income countries,0,1980,7.150.332
Venezuela,VEN,1980,84
World,OWID_WRL,1980,6.758.338
Arab World (WB),0,1981,4.811.101
Bahrain,BHR,1981,6.975.351
Bangladesh,BGD,1981,2.922.723
Brunei,BRN,1981,777.355
Colombia,COL,1981,85
Costa Rica,CRI,1981,92
Cuba,CUB,1981,9.784.665
Dominican Republic,DOM,1981,7.306.457
East Asia and the Pacific (WB),0,1981,7.037.613
Ecuador,ECU,1981,82
Greece,GRC,1981,9.051.232
Haiti,HTI,1981,31
Honduras,HND,1981,62
India,IND,1981,4.076.359
Italy,ITA,1981,9.646.054
Latin America and Caribbean (WB),0,1981,8.106.476
Lower-middle-income countries,0,1981,4.855.208
Macao,MAC,1981,9.037.818
Middle East and North Africa (WB),0,1981,4.842.226
Montenegro,MNE,1981,896.353
Nepal,NPL,1981,2.057.367
Nicaragua,NIC,1981,61
Pakistan,PAK,1981,2.572.519
Paraguay,PRY,1981,86
Peru,PER,1981,8.191.846
Portugal,PRT,1981,7.943.561
Sao Tome and Principe,STP,1981,5.732.426
South Asia (WB),0,1981,3.863.157
Spain,ESP,1981,9.280.977
Sri Lanka,LKA,1981,8.677.792
Syria,SYR,1981,556.545
Upper-middle-income countries,0,1981,7.287.539
Venezuela,VEN,1981,847.322
World,OWID_WRL,1981,6.829.191
Arab World (WB),0,1982,4.867.683
Central Europe and the Baltics (WB),0,1982,9.797.562
Chile,CHL,1982,911.284
China,CHN,1982,6.550.509
Costa Rica,CRI,1982,92
East Asia and the Pacific (WB),0,1982,7.096.971
Ecuador,ECU,1982,8.355.269
Haiti,HTI,1982,3.473.469
Honduras,HND,1982,63
Latin America and Caribbean (WB),0,1982,8.144.642
Lower-middle-income countries,0,1982,4.945.058
Middle East and North Africa (WB),0,1982,4.924.596
Morocco,MAR,1982,302.578
Nicaragua,NIC,1982,62
Paraguay,PRY,1982,7.845.861
Saint Pierre and Miquelon,SPM,1982,99
South Asia (WB),0,1982,3.982.555
Upper-middle-income countries,0,1982,734.479
World,OWID_WRL,1982,6.884.949
Zimbabwe,ZWE,1982,7.779.417
Arab World (WB),0,1983,4.889.918
Central Europe and the Baltics (WB),0,1983,97.999
Costa Rica,CRI,1983,92
East Asia and the Pacific (WB),0,1983,7.224.865
Honduras,HND,1983,64
Israel,ISR,1983,9.175.141
Latin America and Caribbean (WB),0,1983,8.184.256
Lower-middle-income countries,0,1983,5.002.004
Middle East and North Africa (WB),0,1983,5.003.418
Myanmar,MMR,1983,7.857.041
Nicaragua,NIC,1983,62
South Asia (WB),0,1983,4.047.922
Upper-middle-income countries,0,1983,745.785
World,OWID_WRL,1983,695.504
Anguilla,AIA,1984,95
Arab World (WB),0,1984,4.961.644
Central Europe and the Baltics (WB),0,1984,9.803.503
Congo,COG,1984,5.961.912
Costa Rica,CRI,1984,9.262.904
East Asia and the Pacific (WB),0,1984,7.323.173
Honduras,HND,1984,64
Latin America and Caribbean (WB),0,1984,822.144
Liberia,LBR,1984,3.210.677
Libya,LBY,1984,6.016.439
Lower-middle-income countries,0,1984,5.062.377
Middle East and North Africa (WB),0,1984,5.090.994
Nicaragua,NIC,1984,63
South Asia (WB),0,1984,411.337
Tunisia,TUN,1984,481.907
Upper-middle-income countries,0,1984,7.558.398
Vanuatu,VUT,1984,58.2
World,OWID_WRL,1984,7.020.852
Arab World (WB),0,1985,5.050.422
Central Europe and the Baltics (WB),0,1985,9.806.434
East Asia and the Pacific (WB),0,1985,7.416.798
Honduras,HND,1985,65
Kuwait,KWT,1985,7.449.087
Latin America and Caribbean (WB),0,1985,825.733
Lower-middle-income countries,0,1985,5.123.839
Maldives,MDV,1985,9.223.005
Malta,MLT,1985,8.692.984
Middle East and North Africa (WB),0,1985,5.193.806
Nicaragua,NIC,1985,63
South Asia (WB),0,1985,4.178.566
Sub-Saharan Africa (WB),0,1985,4.967.415
Turkey,TUR,1985,7.596.824
United Arab Emirates,ARE,1985,712.353
Upper-middle-income countries,0,1985,7.643.733
Uruguay,URY,1985,9.537.998
Western and Central Africa (WB),0,1985,4.029.465
World,OWID_WRL,1985,708.034
Arab World (WB),0,1986,5.130.673
Central Europe and the Baltics (WB),0,1986,9.809.401
East Asia and the Pacific (WB),0,1986,7.500.072
Egypt,EGY,1986,4.442.399
Eswatini,SWZ,1986,6.723.938
Honduras,HND,1986,66
Iran,IRN,1986,5.231.976
Latin America and Caribbean (WB),0,1986,8.292.528
Lower-middle-income countries,0,1986,5.176.948
Middle East and North Africa (WB),0,1986,5.289.378
Nicaragua,NIC,1986,63
Qatar,QAT,1986,7.563.504
South Asia (WB),0,1986,4.244.037
Sub-Saharan Africa (WB),0,1986,4.999.364
Upper-middle-income countries,0,1986,7.726.837
Western and Central Africa (WB),0,1986,4.055.083
World,OWID_WRL,1986,7.135.792
Algeria,DZA,1987,4.963.088
Arab World (WB),0,1987,5.198.211
Central Europe and the Baltics (WB),0,1987,9.812.998
East Asia and the Pacific (WB),0,1987,7.617.425
Honduras,HND,1987,66
Latin America and Caribbean (WB),0,1987,8.321.761
Lower-middle-income countries,0,1987,5.262.234
Malawi,MWI,1987,4.853.665
Middle East and North Africa (WB),0,1987,5.372.572
Nicaragua,NIC,1987,64
Saint Helena,SHN,1987,97
Seychelles,SYC,1987,8.422.922
South Asia (WB),0,1987,4.309.805
Southern and Eastern Africa (WB),0,1987,5.685.891
Sub-Saharan Africa (WB),0,1987,5.062.375
Upper-middle-income countries,0,1987,7.811.403
Western and Central Africa (WB),0,1987,4.129.927
World,OWID_WRL,1987,7.204.868
Arab World (WB),0,1988,5.297.973
Central African Republic,CAF,1988,3.362.442
Central Europe and the Baltics (WB),0,1988,9.821.289
Cote d'Ivoire,CIV,1988,3.413.928
East Asia and the Pacific (WB),0,1988,7.995.977
Honduras,HND,1988,67
Latin America and Caribbean (WB),0,1988,8.370.771
Low-income countries,0,1988,4.646.776
Lower-middle-income countries,0,1988,5.331.907
Middle East and North Africa (WB),0,1988,5.484.007
Nicaragua,NIC,1988,64
Poland,POL,1988,99.3
Senegal,SEN,1988,2.686.885
South Asia (WB),0,1988,4.384.537
Southern and Eastern Africa (WB),0,1988,5.716.619
Sub-Saharan Africa (WB),0,1988,5.110.168
Tanzania,TZA,1988,591.138
Upper-middle-income countries,0,1988,8.140.846
Western and Central Africa (WB),0,1988,4.203.242
World,OWID_WRL,1988,7.377.016
Arab World (WB),0,1989,5.385.493
Armenia,ARM,1989,9.875.196
Belarus,BLR,1989,9.788.337
Central Europe and the Baltics (WB),0,1989,9.827.741
East Asia and the Pacific (WB),0,1989,8.060.751
Estonia,EST,1989,9.972.644
Honduras,HND,1989,68
Kazakhstan,KAZ,1989,9.752.938
Latin America and Caribbean (WB),0,1989,8.414.951
Latvia,LVA,1989,994.523
Lithuania,LTU,1989,9.844.127
Low-income countries,0,1989,4.691.318
Lower-middle-income countries,0,1989,5.404.309
Middle East and North Africa (WB),0,1989,5.584.551
Moldova,MDA,1989,9.637.755
New Caledonia,NCL,1989,9.308.063
Nicaragua,NIC,1989,64
Russia,RUS,1989,9.798.605
South Asia (WB),0,1989,4.461.243
Southern and Eastern Africa (WB),0,1989,5.761.875
Sub-Saharan Africa (WB),0,1989,5.169.056
Tajikistan,TJK,1989,9.769.402
Upper-middle-income countries,0,1989,8.200.051
Vietnam,VNM,1989,8.759.645
Western and Central Africa (WB),0,1989,4.282.516
World,OWID_WRL,1989,7.430.384
Arab World,0,1990,5.459.347
Arab World (WB),0,1990,5.479.577
Burundi,BDI,1990,3.738.472
Cape Verde,CPV,1990,6.279.686
Central Europe and the Baltics,0,1990,9.859.496
Central Europe and the Baltics (WB),0,1990,9.834.538
China,CHN,1990,7.778.506
Early-demographic dividend,0,1990,59.518.055
East Asia & Pacific,0,1990,82.054.344
East Asia & Pacific (IDA & IBRD),0,1990,79.458.626
East Asia & Pacific (excluding high income),0,1990,797.442
East Asia and the Pacific (WB),0,1990,8.046.115
Ecuador,ECU,1990,8.829.876
Europe & Central Asia,0,1990,9.726.079
Europe & Central Asia (IDA & IBRD),0,1990,959.422
Europe & Central Asia (excluding high income),0,1990,9.556.776
Guam,GUM,1990,9.936.915
Heavily indebted poor countries (HIPC),0,1990,45.420.242
Hungary,HUN,1990,99.1
IBRD only,0,1990,7.364.205
IDA & IBRD total,0,1990,698.612
IDA blend,0,1990,63.288.082
IDA only,0,1990,4.829.747
IDA total,0,1990,541.447
Indonesia,IDN,1990,8.151.985
Late-demographic dividend,0,1990,8.247.946
Latin America & Caribbean,0,1990,8.746.383
Latin America & Caribbean (IDA & IBRD),0,1990,8.706.507
Latin America & Caribbean (excluding high income),0,1990,8.710.164
Latin America and Caribbean (WB),0,1990,8.446.313
Least developed countries: UN classification,0,1990,45.830.433
Low income,0,1990,4.602.458
Low-income countries,0,1990,4.739.702
Lower middle income,0,1990,5.859.612
Lower-middle-income countries,0,1990,5.491.134
Maldives,MDV,1990,9.601.826
Mauritius,MUS,1990,7.986.866
Mexico,MEX,1990,8.755.615
Middle East & North Africa,0,1990,58.496.243
Middle East & North Africa (IDA & IBRD),0,1990,5.575.025
Middle East & North Africa (excluding high income),0,1990,5.603.943
Middle East and North Africa (WB),0,1990,5.823.571
Middle income,0,1990,7.137.112
Nicaragua,NIC,1990,65
Other small states,0,1990,7.333.838
Panama,PAN,1990,8.877.986
Philippines,PHL,1990,935.739
Pre-demographic dividend,0,1990,51.186.974
Puerto Rico,PRI,1990,896.225
Singapore,SGP,1990,89.096
Small states,0,1990,7.728.492
South Asia,0,1990,46.487.602
South Asia (IDA & IBRD),0,1990,46.487.602
South Asia (WB),0,1990,453.592
Southern and Eastern Africa (WB),0,1990,5.818.002
Sub-Saharan Africa (IDA & IBRD),0,1990,5.253.158
Sub-Saharan Africa (WB),0,1990,523.394
Trinidad and Tobago,TTO,1990,9.693.855
Turkey,TUR,1990,7.923.245
Upper middle income,0,1990,8.191.885
Upper-middle-income countries,0,1990,8.194.503
Venezuela,VEN,1990,8.982.525
Western and Central Africa (WB),0,1990,4.360.494
World,OWID_WRL,1990,7.460.577
Zambia,ZMB,1990,6.499.828
Arab World (WB),0,1991,5.581.391
Argentina,ARG,1991,9.604.072
Bahrain,BHR,1991,8.401.383
Bangladesh,BGD,1991,353.193
Belize,BLZ,1991,7.029.842
Bosnia and Herzegovina,BIH,1991,8.906.359
Botswana,BWA,1991,6.858.091
British Virgin Islands,VGB,1991,97.8
Brunei,BRN,1991,8.780.418
Burkina Faso,BFA,1991,1.356.923
Central Europe and the Baltics (WB),0,1991,9.840.635
Croatia,HRV,1991,9.670.155
East Asia and the Pacific (WB),0,1991,8.170.511
Greece,GRC,1991,9.261.045
India,IND,1991,4.822.207
Iran,IRN,1991,655.314
Latin America and Caribbean (WB),0,1991,8.506.566
Low-income countries,0,1991,4.767.013
Lower-middle-income countries,0,1991,5.546.039
Malaysia,MYS,1991,8.291.537
Middle East and North Africa (WB),0,1991,5.951.876
Montenegro,MNE,1991,9.346.274
Namibia,NAM,1991,7.581.658
Nepal,NPL,1991,3.297.559
Nicaragua,NIC,1991,65
Nigeria,NGA,1991,5.544.675
Portugal,PRT,1991,8.794.785
Rwanda,RWA,1991,5.785.349
Samoa,WSM,1991,9.794.433
Sao Tome and Principe,STP,1991,7.324.242
Slovenia,SVN,1991,9.952.452
South Asia (WB),0,1991,4.578.956
Southern and Eastern Africa (WB),0,1991,5.814.119
Spain,ESP,1991,9.649.497
Sub-Saharan Africa (WB),0,1991,5.281.162
Uganda,UGA,1991,5.610.738
Upper-middle-income countries,0,1991,8.305.663
Western and Central Africa (WB),0,1991,4.482.332
World,OWID_WRL,1991,7.519.876
Arab World (WB),0,1992,5.686.386
Benin,BEN,1992,2.724.517
Bolivia,BOL,1992,7.999.177
Central Europe and the Baltics (WB),0,1992,984.627
Chile,CHL,1992,9.429.114
Cyprus,CYP,1992,9.436.247
East Asia and the Pacific (WB),0,1992,8.222.357
El Salvador,SLV,1992,7.414.316
Latin America and Caribbean (WB),0,1992,856.456
Low-income countries,0,1992,4.786.018
Lower-middle-income countries,0,1992,5.643.855
Middle East and North Africa (WB),0,1992,6.049.936
Nicaragua,NIC,1992,65
Paraguay,PRY,1992,9.027.182
Romania,ROU,1992,9.670.998
Saudi Arabia,SAU,1992,7.082.165
South Asia (WB),0,1992,4.708.633
Southern and Eastern Africa (WB),0,1992,5.853.064
Sub-Saharan Africa (WB),0,1992,5.317.252
Upper-middle-income countries,0,1992,8.358.292
Western and Central Africa (WB),0,1992,4.516.338
World,OWID_WRL,1992,7.564.575
Zimbabwe,ZWE,1992,8.351.258
Arab World (WB),0,1993,5.768.294
Central Europe and the Baltics (WB),0,1993,9.851.395
Chad,TCD,1993,1.089.465
Colombia,COL,1993,9.106.309
East Asia and the Pacific (WB),0,1993,8.268.984
Gabon,GAB,1993,7.223.367
Latin America and Caribbean (WB),0,1993,8.624.845
Low-income countries,0,1993,4.805.545
Lower-middle-income countries,0,1993,5.725.194
Middle East and North Africa (WB),0,1993,6.139.244
Nicaragua,NIC,1993,66
Peru,PER,1993,8.715.063
South Asia (WB),0,1993,4.808.146
Southern and Eastern Africa (WB),0,1993,589.126
Sub-Saharan Africa (WB),0,1993,5.372.444
